comment,date,netvalue,totvalue
0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e30\u5929"", ""0.75%"", ""\u5927\u4e8e\u7b49\u4e8e30\u5929\uff0c\u5c0f\u4e8e6\u4e2a\u6708"", ""0.50%"", ""\u5927\u4e8e\u7b49\u4e8e6\u4e2a\u6708"", ""0.00%""], ""name"": ""\u777f\u8fdc\u6210\u957f\u4ef7\u503c\u6df7\u5408A"", ""rate"": 0, ""segment"": [[0, 7], [7, 30], [30, 180], [180]]}",0.0,0.0
0,2019-03-26 00:00:00,1.0,1.0
0,2019-03-29 00:00:00,1.0004,1.0004
0,2019-04-04 00:00:00,1.0015,1.0015
0,2019-04-12 00:00:00,0.9901,0.9901
0,2019-04-19 00:00:00,0.9991,0.9991
0,2019-04-26 00:00:00,0.9756,0.9756
0,2019-04-30 00:00:00,0.9804,0.9804
0,2019-05-10 00:00:00,0.9707,0.9707
0,2019-05-17 00:00:00,0.9547,0.9547
0,2019-05-24 00:00:00,0.9344,0.9344
0,2019-05-31 00:00:00,0.9494,0.9494
0,2019-06-06 00:00:00,0.9158,0.9158
0,2019-06-14 00:00:00,0.9369,0.9369
0,2019-06-21 00:00:00,0.9756,0.9756
0,2019-06-24 00:00:00,0.9784,0.9784
0,2019-06-25 00:00:00,0.9696,0.9696
0,2019-06-26 00:00:00,0.974,0.974
0,2019-06-27 00:00:00,0.991,0.991
0,2019-06-28 00:00:00,0.9865,0.9865
0,2019-07-01 00:00:00,1.0091,1.0091
0,2019-07-02 00:00:00,1.0126,1.0126
0,2019-07-03 00:00:00,1.0021,1.0021
0,2019-07-04 00:00:00,0.9953,0.9953
0,2019-07-05 00:00:00,1.0043,1.0043
0,2019-07-08 00:00:00,0.9895,0.9895
0,2019-07-09 00:00:00,0.9816,0.9816
0,2019-07-10 00:00:00,0.9849,0.9849
0,2019-07-11 00:00:00,0.9796,0.9796
0,2019-07-12 00:00:00,0.9845,0.9845
0,2019-07-15 00:00:00,0.9981,0.9981
0,2019-07-16 00:00:00,0.9997,0.9997
0,2019-07-17 00:00:00,1.0081,1.0081
0,2019-07-18 00:00:00,0.998,0.998
0,2019-07-19 00:00:00,1.0014,1.0014
0,2019-07-22 00:00:00,1.0024,1.0024
0,2019-07-23 00:00:00,1.0125,1.0125
0,2019-07-24 00:00:00,1.0253,1.0253
0,2019-07-25 00:00:00,1.0396,1.0396
0,2019-07-26 00:00:00,1.0486,1.0486
0,2019-07-29 00:00:00,1.0533,1.0533
0,2019-07-30 00:00:00,1.0508,1.0508
0,2019-07-31 00:00:00,1.0445,1.0445
0,2019-08-01 00:00:00,1.0419,1.0419
0,2019-08-02 00:00:00,1.0337,1.0337
0,2019-08-05 00:00:00,1.0154,1.0154
0,2019-08-06 00:00:00,1.0129,1.0129
0,2019-08-07 00:00:00,1.0137,1.0137
0,2019-08-08 00:00:00,1.0317,1.0317
0,2019-08-09 00:00:00,1.0267,1.0267
0,2019-08-12 00:00:00,1.0432,1.0432
0,2019-08-13 00:00:00,1.0337,1.0337
0,2019-08-14 00:00:00,1.0372,1.0372
0,2019-08-15 00:00:00,1.0422,1.0422
0,2019-08-16 00:00:00,1.048,1.048
0,2019-08-19 00:00:00,1.0678,1.0678
0,2019-08-20 00:00:00,1.0675,1.0675
0,2019-08-21 00:00:00,1.073,1.073
0,2019-08-22 00:00:00,1.0731,1.0731
0,2019-08-23 00:00:00,1.0785,1.0785
0,2019-08-26 00:00:00,1.0657,1.0657
0,2019-08-27 00:00:00,1.0801,1.0801
0,2019-08-28 00:00:00,1.0774,1.0774
0,2019-08-29 00:00:00,1.0805,1.0805
0,2019-08-30 00:00:00,1.0815,1.0815
0,2019-09-02 00:00:00,1.0983,1.0983
0,2019-09-03 00:00:00,1.1088,1.1088
0,2019-09-04 00:00:00,1.1129,1.1129
0,2019-09-05 00:00:00,1.1228,1.1228
0,2019-09-06 00:00:00,1.1218,1.1218
0,2019-09-09 00:00:00,1.1375,1.1375
0,2019-09-10 00:00:00,1.1259,1.1259
0,2019-09-11 00:00:00,1.1087,1.1087
0,2019-09-12 00:00:00,1.1187,1.1187
0,2019-09-16 00:00:00,1.1233,1.1233
0,2019-09-17 00:00:00,1.1112,1.1112
0,2019-09-18 00:00:00,1.1219,1.1219
0,2019-09-19 00:00:00,1.1348,1.1348
0,2019-09-20 00:00:00,1.1415,1.1415
0,2019-09-23 00:00:00,1.1309,1.1309
0,2019-09-24 00:00:00,1.1373,1.1373
0,2019-09-25 00:00:00,1.115,1.115
0,2019-09-26 00:00:00,1.0997,1.0997
0,2019-09-27 00:00:00,1.1118,1.1118
0,2019-09-30 00:00:00,1.1,1.1
0,2019-10-08 00:00:00,1.097,1.097
0,2019-10-09 00:00:00,1.1004,1.1004
0,2019-10-10 00:00:00,1.1235,1.1235
0,2019-10-11 00:00:00,1.1249,1.1249
0,2019-10-14 00:00:00,1.1374,1.1374
0,2019-10-15 00:00:00,1.125,1.125
0,2019-10-16 00:00:00,1.114,1.114
0,2019-10-17 00:00:00,1.1217,1.1217
0,2019-10-18 00:00:00,1.1066,1.1066
0,2019-10-21 00:00:00,1.0997,1.0997
0,2019-10-22 00:00:00,1.1146,1.1146
0,2019-10-23 00:00:00,1.1023,1.1023
0,2019-10-24 00:00:00,1.094,1.094
0,2019-10-25 00:00:00,1.1143,1.1143
0,2019-10-28 00:00:00,1.1259,1.1259
0,2019-10-29 00:00:00,1.1209,1.1209
0,2019-10-30 00:00:00,1.1243,1.1243
0,2019-10-31 00:00:00,1.1184,1.1184
0,2019-11-01 00:00:00,1.1292,1.1292
0,2019-11-04 00:00:00,1.1442,1.1442
0,2019-11-05 00:00:00,1.155,1.155
0,2019-11-06 00:00:00,1.1513,1.1513
0,2019-11-07 00:00:00,1.1618,1.1618
0,2019-11-08 00:00:00,1.1581,1.1581
0,2019-11-11 00:00:00,1.1366,1.1366
0,2019-11-12 00:00:00,1.1336,1.1336
0,2019-11-13 00:00:00,1.1407,1.1407
0,2019-11-14 00:00:00,1.1514,1.1514
