2020-11-29 at 04:06:28 | INFO | get fund estimate value progress as flow!
2020-11-29 at 04:06:28 | INFO | get estimate for 001186 real time timestamp is 1606593988542
2020-11-29 at 11:44:29 | INFO | get fund estimate value progress as flow!
2020-11-29 at 11:44:29 | INFO | get estimate for 001186 real time timestamp is 1606621469279
2020-11-29 at 11:45:21 | INFO | get fund estimate value progress as flow!
2020-11-29 at 11:45:21 | INFO | get estimate for 001632 real time timestamp is 1606621521613
2020-11-29 at 11:45:56 | INFO | get fund estimate value progress as flow!
2020-11-29 at 11:45:56 | INFO | get estimate for 001632 real time timestamp is 1606621556319
2020-11-29 at 11:58:06 | INFO | get fund estimate value progress as flow!
2020-11-29 at 11:58:06 | INFO | get estimate for 001632 real time timestamp is 1606622286741
2020-11-29 at 12:08:11 | INFO | get fund estimate value progress as flow!
2020-11-29 at 12:08:11 | INFO | get estimate for 001632 real time timestamp is 1606622891383
2020-11-29 at 12:10:49 | INFO | get fund estimate value progress as flow!
2020-11-29 at 12:10:49 | INFO | get estimate for 001632 real time timestamp is 1606623049361
